id,product_name,category,price,original_price,image,rating,ratingCount,description,brand
a4e9176d5264458e85e928e1b623c93f,Infinix INBook X1 Neo Series Celeron Quad Core - (8 GB/256 GB SSD/Windows 11 Home) XL22 Thin and Light...,Laptop,22990,39990,https://rukminim2.flixcart.com/image/480/640/k5h2jrk0/computer/z/f/b/hp-na-original-imafz5gjhw2jnghh.jpeg?q=90,4.2,2999 Ratings & 439 Reviews,['Intel Celeron Quad Core Processor' '8 GB LPDDR4X RAM' '64 bit Windows 11 Operating System' '256 GB SSD' '35.56 cm (14 inch) Display' '1 Year Onsite Warranty'],Infinix
269ae8ac990f4d978855c8f92a3254a4,acer Aspire 7 Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,Laptop,47990,76999,https://images-cdn.ubuy.co.in/633b7ec21297bb2dd01c3d64-dell-insprion-15-3000.jpg,4.4,5138 Ratings & 642 Reviews,['Free upgrade to Windows 11 when available' 'AMD Ryzen 5 Hexa Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Acer Collection  Acer Product Registration Acer Care Center Quick Access' '1 Year International Travelers Warranty (ITW)'],acer
7deb88f8b3ad4431baaedb1f9f18a2d4,ASUS VivoBook K15 OLED (2022) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) K513EA-L302WS Thin ...,Laptop,40990,58990,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTeFReH-_UNBc4XWySX-3QFIty2lwrdOd2Baw&s,4.4,1342 Ratings & 227 Reviews,['Intel Core i3 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '256 GB SSD' '39.62 cm (15.6 inch) Display' 'Office Home and Student 2021' '1 Year Onsite Warranty'],ASUS
2ee0a9140ca44a609a0c1415f8be209a,ASUS VivoBook 14 (2022) Ryzen 7 Quad Core AMD R7-3700U - (16 GB/512 GB SSD/Windows 11 Home) M415DA-EB5...,Laptop,44990,70990,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQdrY14Sai0gQMWwcCCqCtD2ZdiqKNqWHs9g&s,4.1,1073 Ratings & 103 Reviews,['AMD Ryzen 7 Quad Core Processor' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '35.56 cm (14 inch) Display' 'Office Home and Student 2021' '1 Year Onsite Warranty'],ASUS
da1c6f73db2c42b993608c3d0d20e592,Lenovo Thinkpad Ryzen 5 Hexa Core 5600U - (8 GB/512 GB SSD/DOS) E14 AMD Gen3 Thin and Light Laptop,Laptop,69990,78400,https://www.apple.com/newsroom/images/product/mac/standard/Apple-MacBook-Pro-M2-Pro-and-M2-Max-hero-230117.jpg.landing-big_2x.jpg,4.5,48 Ratings & 6 Reviews,['AMD Ryzen 5 Hexa Core Processor' '8 GB DDR4 RAM' '64 bit DOS Operating System' '512 GB SSD' '35.56 cm (14 inch) Display' '1 Year Onsite Warranty'],Lenovo
62d894a67c37420289b828341e5d6b56,Lenovo Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) V15 ITL G2 Thin and Light Laptop,Laptop,38990,51544,https://rukminim2.flixcart.com/image/300/300/xif0q/computer/s/u/7/14s-fq0568au-thin-and-light-laptop-hp-original-imah3bdte6fw7eth.jpeg,4.3,159 Ratings & 14 Reviews,['Intel Core i3 Processor (11th Gen)' '4 GB DDR4 RAM' '64 bit Windows 10 Operating System' '256 GB SSD' '38.1 cm (15 inch) Display' 'Microsoft Office Home & Student 2019' '1 Year Onsite Warranty'],Lenovo
416744a10cf3491bbd12133ac9801cf9,HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,Laptop,59990,81869,https://rukminim2.flixcart.com/image/480/640/xif0q/computer/g/n/7/e14-gen-3-business-laptop-lenovo-original-imah4ycdhgzgy2dh.jpeg?q=90,4.5,155 Ratings & 25 Reviews,['AMD Ryzen 5 Hexa Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Microsoft Office Home & Student 2019' '1 Year Onsite Warranty'],HP
db2964d9c11c4f98ab58dc6981a5bc34,HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light Laptop,Laptop,58990,67832,https://m.media-amazon.com/images/I/71St+t-rx0L.jpg,4.2,1664 Ratings & 145 Reviews,['Intel Core i5 Processor (12th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' '1 Year Onsite Warranty'],HP
063b760e0a6f4684833ad4a37eaa2c68,Lenovo ThinkBook 13s Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) TB13s ITL Gen 2 Thin and Lig...,Laptop,73990,112608,"https://m.media-amazon.com/images/I/71N9orNx0PL._AC_UF1000,1000_QL80_.jpg",4.0,154 Ratings & 20 Reviews,['Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '33.02 cm (13 inch) Display' 'Microsoft Office Home & Student 2019' '1 Year Onsite Warranty'],Lenovo
721eab153cfd41bda5bb4117a07bd0b5,Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,Laptop,51990,76890,https://rukminim2.flixcart.com/image/480/640/xif0q/computer/b/b/t/-original-imahcd9pefaj3xzr.jpeg?q=90,4.3,2254 Ratings & 194 Reviews,['Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 Inch) Display' '1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection'],Lenovo
